Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
163,31,8,152,0,Some Random Commen with Id 163
164,31,8,123,6,Some Random Commen with Id 164
165,32,4,31,5,Some Random Commen with Id 165
166,33,9,77,2,Some Random Commen with Id 166
167,33,9,39,6,Some Random Commen with Id 167
168,33,9,44,4,Some Random Commen with Id 168
169,33,9,164,5,Some Random Commen with Id 169
170,33,9,159,4,Some Random Commen with Id 170
171,33,9,190,1,Some Random Commen with Id 171
172,33,9,152,1,Some Random Commen with Id 172
173,33,9,145,4,Some Random Commen with Id 173
174,34,1,8,0,Some Random Commen with Id 174
175,34,1,92,1,Some Random Commen with Id 175
176,34,1,26,0,Some Random Commen with Id 176
177,34,1,131,7,Some Random Commen with Id 177
178,34,1,20,0,Some Random Commen with Id 178
179,34,1,88,8,Some Random Commen with Id 179
180,34,1,112,2,Some Random Commen with Id 180
181,34,1,135,3,Some Random Commen with Id 181
182,34,1,195,7,Some Random Commen with Id 182
183,35,4,59,5,Some Random Commen with Id 183
184,35,4,170,3,Some Random Commen with Id 184
185,35,4,23,6,Some Random Commen with Id 185
186,36,6,178,9,Some Random Commen with Id 186
187,37,7,183,9,Some Random Commen with Id 187
188,37,7,170,2,Some Random Commen with Id 188
189,37,7,80,3,Some Random Commen with Id 189
190,37,7,34,4,Some Random Commen with Id 190
191,37,7,105,4,Some Random Commen with Id 191
192,37,7,25,3,Some Random Commen with Id 192
193,37,7,39,9,Some Random Commen with Id 193
194,38,0,135,0,Some Random Commen with Id 194
195,38,0,81,9,Some Random Commen with Id 195
196,39,7,56,1,Some Random Commen with Id 196
197,39,7,82,7,Some Random Commen with Id 197
198,39,7,107,2,Some Random Commen with Id 198
